equipment_tag,total_ots,creado,liberado,planificado,en_programacion,programado,en_ejecucion,cerrado,cancelado,otros,sample_wo_numbers,mapeo_propuesto,accion
PMP-SL-HP-002,10,0,0,0,4,1,0,5,0,0,OT-2026-50019 | OT-2026-50040 | OT-2026-50042,PMP-SLP-001 (83%) | PMP-WTP-002 (75%) | TP-002 (61%),
COM-AIRE-02,6,0,0,0,2,3,0,1,0,0,OT-2026-50002 | OT-2026-50028 | OT-2026-50055,TR-002 (57%) | SI-002 (57%) | RD-002 (57%),
PMP-AGUA-01,6,0,0,0,2,1,2,1,0,0,OT-2026-50003 | OT-2026-50005 | OT-2026-50010,PMP-SLP-001 (64%) | MG-001 (59%) | SG-001 (57%),
CRU-CON-HP-01,6,0,0,0,1,0,1,3,1,0,OT-2026-50006 | OT-2026-50033 | OT-2026-50077,CSP-001 (58%) | CV-AC-01 (57%),
THK-REL-02,6,0,0,0,1,2,0,2,1,0,OT-2026-50012 | OT-2026-50021 | OT-2026-50031,TR-002 (62%) | TH-002 (62%),
PMP-REL-01,5,0,0,0,2,0,0,3,0,0,OT-2026-50000 | OT-2026-50020 | OT-2026-50038,PMP-SLP-001 (76%) | TR-001 (60%) | SR-001 (60%),
THK-REL-01,5,0,0,0,1,1,0,2,1,0,OT-2026-50001 | OT-2026-50008 | OT-2026-50080,TR-001 (62%) | TK-001 (62%) | TH-001 (62%),
CVY-CV-001,5,0,0,0,1,1,0,1,2,0,OT-2026-50035 | OT-2026-50045 | OT-2026-50059,CVY-CVR-001 (95%) | CVY-SCR-002 (76%) | CC-001 (75%),
BRY-SAG-ML-002,5,0,0,0,1,0,0,4,0,0,OT-2026-50069 | OT-2026-50097 | OT-NC-BRY-SA-467,BRY-SAG-ML-001 (93%) | BRY-SAG-ML-001 (93%) | BRY-BAL-ML-002 (86%),
DCS-PLT-01,4,0,0,0,1,2,0,1,0,0,OT-2026-50013 | OT-2026-50015 | OT-2026-50030,CSP-001 (71%) | LT-001 (70%) | SM-MOT-01 (63%),
TRF-PRI-01,4,0,0,0,0,0,2,2,0,0,OT-2026-50014 | OT-2026-50016 | OT-2026-50057,TR-001 (62%) | TP-001 (62%) | XRF-001 (59%),
CRU-JAW-01,4,0,0,0,0,0,1,2,1,0,OT-2026-50017 | OT-2026-50054 | OT-2026-50056,CV-AC-01 (67%) | WT-001 (60%) | WB-001 (60%),
CVY-CV-002,4,0,0,0,0,1,0,3,0,0,OT-2026-50018 | OT-2026-50044 | OT-2026-50058,CVY-SCR-002 (86%) | CVY-CVR-001 (86%) | RC-002 (70%),
SUB-AT-S01,4,0,0,0,0,1,2,1,0,0,OT-2026-50023 | OT-2026-50032 | OT-2026-50061,SM-MOT-01 (63%) | BM-MOT-01 (63%) | AT-001 (62%),
PLC-FLT-01,4,0,0,0,0,2,0,2,0,0,OT-2026-50034 | OT-2026-50043 | OT-2026-50068,LT-001 (70%) | FL-001 (70%) | FIL-BFT-001 (67%),
SUB-MT-P01,4,0,0,0,0,3,1,0,0,0,OT-2026-50051 | OT-2026-50072 | OT-2026-50084,SM-MOT-01 (74%) | BM-MOT-01 (74%) | STK-STK-001 (57%),
VLV-PN-MM-08,4,0,0,0,0,0,0,4,0,0,OT-PM-STRAT-VLV-PN-00 | OT-PM-STRAT-VLV-PN-01 | OT-PM-STRAT-VLV-PN-02,SIN MATCH,
MOL-CCO-01,4,0,0,0,0,0,0,4,0,0,OT-PM-STRAT-MOL-CC-00 | OT-PM-STRAT-MOL-CC-01 | OT-PM-STRAT-MOL-CC-02,MCC-001 (71%) | CC-001 (70%) | CV-AC-01 (64%),
CRU-GIR-01,3,0,0,0,0,0,1,2,0,0,OT-2026-50004 | OT-2026-50025 | OT-2026-50079,TR-001 (60%) | SR-001 (60%) | SI-001 (60%),
HID-CEN-01,3,0,0,0,1,1,0,0,1,0,OT-2026-50011 | OT-2026-50053 | OT-2026-50095,HC-001 (62%) | OHC-001 (59%) | CV-AC-01 (56%),
THK-CNC-01,3,0,0,0,0,0,2,1,0,0,OT-2026-50024 | OT-2026-50029 | OT-2026-50066,TK-001 (62%) | TH-001 (62%) | HC-001 (62%),
FLT-BCO-CND-01,3,0,0,0,0,0,0,2,1,0,OT-2026-50027 | OT-2026-50047 | OT-2026-50075,FLT-CND-002 (72%) | FLT-FLC-001 (64%),
CRU-CON-HP-02,3,0,0,0,0,1,1,1,0,0,OT-2026-50041 | OT-2026-50085 | OT-2026-50094,SIN MATCH,
BRY-BAL-ML-001,3,0,0,0,1,0,1,1,0,0,OT-2026-50050 | OT-2026-50076 | OT-2026-50078,BRY-BAL-ML-002 (93%) | BRY-BAL-ML-002 (93%) | BRY-SAG-ML-001 (86%),
COM-AIRE-01,3,0,0,0,1,1,0,1,0,0,OT-2026-50067 | OT-2026-50073 | OT-2026-50105,CV-AC-01 (63%) | TR-001 (57%) | SR-001 (57%),
MCC-ML-01,2,0,0,0,1,0,0,1,0,0,OT-2026-50007 | OT-2026-50100,MCC-001 (75%) | SM-MOT-01 (67%) | CL-001 (67%),
FLT-CEL-RG-02,2,0,0,0,0,0,0,2,0,0,OT-2026-50009 | OT-2026-50037,FLT-CND-002 (67%) | FLT-FLC-001 (58%),
CVY-CV-003,2,0,0,0,1,0,1,0,0,0,OT-2026-50022 | OT-2026-50046,CVY-CVR-001 (86%) | CVY-SCR-002 (76%) | BRY-CLS-003 (67%),
PMP-SL-HP-001,2,0,0,0,0,0,0,2,0,0,OT-2026-50026 | OT-2026-50099,PMP-SLP-001 (92%) | SP-001 (70%) | SL-001 (70%),
FLT-CEL-RG-01,2,0,0,0,0,1,0,0,1,0,OT-2026-50063 | OT-2026-50109,FLT-FLC-001 (67%) | FLT-CND-002 (58%),
ANL-XRF-01,2,0,0,0,0,1,1,0,0,0,OT-2026-50093 | OT-2026-50096,XRF-001 (71%) | FLT-FLC-001 (57%) | FIL-BFT-001 (57%),
BRY-CYC-NST-01,1,0,0,0,0,0,1,0,0,0,OT-2026-50036,BRY-CLS-003 (64%) | BRY-SAG-ML-001 (57%) | BRY-SAG-ML-001 (57%),
